recipe,calories,carbohydrates_g,cholesterol_mg,fat_g,protein_g,sodium_mg,url
Slow Cooker Creamed Corn Just Like Rudys Bbq,354,26.1,86.8,27.3,5.9,243.4,https://www.allrecipes.com/recipe/234375/slow-cooker-creamed-corn-just-like-rudys-bbq/
Slow Cooker Salsa Chicken,148,7.5,58.5,2.4,23.1,539.7,https://www.allrecipes.com/recipe/236128/slow-cooker-salsa-chicken/
Randys Slow Cooker Ravioli Lasagna,544,52.9,91.3,23.6,29.4,1333.8,https://www.allrecipes.com/recipe/234397/randys-slow-cooker-ravioli-lasagna/
Warm Mexican Corn Dip,138,6.2,35,12.3,2.1,272.9,https://www.allrecipes.com/recipe/107512/warm-mexican-corn-dip/
Alisons Slow Cooker Vegetable Beef Soup,228,21.2,37.7,9.9,15.4,1716.8,https://www.allrecipes.com/recipe/26354/alisons-slow-cooker-vegetable-beef-soup/
Slow Cooker Apple Crisp,593,83.8,40.7,28.9,5.8,116.4,https://www.allrecipes.com/recipe/177053/slow-cooker-apple-crisp/
No Fuss Shredded Beef Tacos,148,3.3,38.7,9.7,10.9,376.7,https://www.allrecipes.com/recipe/221223/no-fuss-shredded-beef-tacos/
Stefs Slow Cooker Creme Brulee,466,20.3,340.7,41.1,4.7,191.2,https://www.allrecipes.com/recipe/256095/stefs-slow-cooker-creme-brulee/
Deer Chop Hurry,435,49.2,171.4,5.3,48.2,1352.9,https://www.allrecipes.com/recipe/34384/deer-chop-hurry/
Slow Cooker Filipino Chicken Adobo,581,3,212.2,35.4,58.5,1094.5,https://www.allrecipes.com/recipe/277270/slow-cooker-filipino-chicken-adobo/
Slow Cooker Chicken Chili,362,41.9,46.2,10.1,25.4,907.3,https://www.allrecipes.com/recipe/240087/slow-cooker-chicken-chili/
Easy Sweet Chili,567,85.3,47.3,11.8,33.8,1392.5,https://www.allrecipes.com/recipe/229331/easy-sweet-chili/
Slow Cooker Cheesy Cauliflower Casserole,243,12.7,41,15.4,14.5,1248,https://www.allrecipes.com/recipe/277917/slow-cooker-cheesy-cauliflower-casserole/
White Chili Vi,368,40.3,48,12.1,25.7,658.1,https://www.allrecipes.com/recipe/219880/white-chili-vi/
Slow Cooker Northern White Bean,252,31.1,34,4.5,21.7,1149.5,https://www.allrecipes.com/recipe/239934/slow-cooker-northern-white-bean/
Slow Cooker Teriyaki Pork Tenderloin,177,10.3,49.8,6.2,19.2,877.2,https://www.allrecipes.com/recipe/165025/slow-cooker-teriyaki-pork-tenderloin/
Slow Cooker Mediterranean Beef With Artichokes,416,14.1,83.5,26.2,29.9,1452.8,https://www.allrecipes.com/recipe/257152/slow-cooker-mediterranean-beef-with-artichokes/
Little Smokies,285,28.6,31.2,16.4,6.4,1040.1,https://www.allrecipes.com/recipe/130503/little-smokies/
Slow Cooker Chicken Cordon Bleu,484,35.4,111.6,21.1,36.3,1205.5,https://www.allrecipes.com/recipe/81124/slow-cooker-chicken-cordon-bleu/
Warm Berry Compote,140,37.3,,0.5,1.1,0.4,https://www.allrecipes.com/recipe/256825/warm-berry-compote/
Slow Cooker Stuffing,197,16.6,53.8,13.1,3.9,501.7,https://www.allrecipes.com/recipe/13571/slow-cooker-stuffing/
Easy Corned Beef And Cabbage,647,45.8,122.7,34.3,38.8,2852,https://www.allrecipes.com/recipe/222592/easy-corned-beef-and-cabbage/
Slow Cooker Philly Steak Sandwich Meat,251,7.6,60.4,10.6,20.1,601.8,https://www.allrecipes.com/recipe/234396/slow-cooker-philly-steak-sandwich-meat/
Slow Cooker Kielbasa And Beer,383,7.8,74.9,31.1,14.7,1490.5,https://www.allrecipes.com/recipe/21380/slow-cooker-kielbasa-and-beer/
Warm Chili Cheese Dip,269,8.5,67.3,20.5,13.4,958.5,https://www.allrecipes.com/recipe/231858/warm-chili-cheese-dip/
Award Winning White Chicken Chili,179,12.5,44.8,7.7,14.6,932.7,https://www.allrecipes.com/recipe/255245/award-winning-white-chicken-chili/
Snert Split Pea Soup,487,31.9,65,28.7,25,1566.1,https://www.allrecipes.com/recipe/221233/snert-split-pea-soup/
Slow Cooker Italian Beef For Sandwiches,318,1.6,100.4,15.8,39.4,819.1,https://www.allrecipes.com/recipe/16427/slow-cooker-italian-beef-for-sandwiches/
Slow Cooker Pork Chops And Rice,579,56.8,115.1,20,42.1,1133.7,https://www.allrecipes.com/recipe/89248/slow-cooker-pork-chops-and-rice/
Sausage Barley Soup,382,23.2,53.5,22.9,20.7,2721.7,https://www.allrecipes.com/recipe/70451/sausage-barley-soup/
Original Homemade Italian Beef,557,38.4,103.1,28.8,31.9,4233.2,https://www.allrecipes.com/recipe/91597/original-homemade-italian-beef/
Slow Cooker Scalloped Potatoes With Ham,265,33.3,24.3,10.2,10.8,633.9,https://www.allrecipes.com/recipe/47860/slow-cooker-scalloped-potatoes-with-ham/
Beef And Barley Soup I,58,12.3,,0.4,1.9,744,https://www.allrecipes.com/recipe/13283/beef-and-barley-soup-i/
Beckys Gluten Free Slow Cooker Chicken Vegetable Soup,198,19.8,49.2,5.6,15.9,1167.9,https://www.allrecipes.com/recipe/255238/beckys-gluten-free-slow-cooker-chicken-vegetable-soup/
All Day Apple Butter,34,9,,,0.1,4.8,https://www.allrecipes.com/recipe/21205/all-day-apple-butter/
Slow Cooker Beef Barley Soup,306,19.7,45.6,18,16.6,614.8,https://www.allrecipes.com/recipe/16454/slow-cooker-beef-barley-soup/
Mushroom Slow Cooker Roast Beef,388,6.2,82.5,28.1,24.4,452.7,https://www.allrecipes.com/recipe/178498/mushroom-slow-cooker-roast-beef/
Slow Cooker Belgian Chicken Booyah,248,18.6,67.7,9.6,21.9,1918.1,https://www.allrecipes.com/recipe/241813/slow-cooker-belgian-chicken-booyah/
Slow Cooker Creamy Chicken And Dumplings,385,37.9,37.6,18.3,17.3,1294,https://www.allrecipes.com/recipe/239305/slow-cooker-creamy-chicken-and-dumplings/
Healthier Slow Cooker Beef Stew I,468,39.1,83.5,21.3,30.7,340.8,https://www.allrecipes.com/recipe/222093/healthier-slow-cooker-beef-stew-i/
Bacon Wrapped Smokies,163,10.7,25.7,10.5,6.5,458.3,https://www.allrecipes.com/recipe/69919/bacon-wrapped-smokies/
Slow Cooker Texas Smoked Beef Brisket,342,28.7,69.1,16.1,21.5,3520.5,https://www.allrecipes.com/recipe/232137/slow-cooker-texas-smoked-beef-brisket/
Meadowwood Tapioca Pudding,190,29.8,89,5.6,5,197.6,https://www.allrecipes.com/recipe/219782/meadowwood-tapioca-pudding/
Easy Slow Cooker Apple Pork Roast,527,18.8,145.2,29.4,44.6,203.6,https://www.allrecipes.com/recipe/213270/easy-slow-cooker-apple-pork-roast/
Slow Cooker Texas Pulled Pork,528,45.5,98.4,23.2,31.9,802.7,https://www.allrecipes.com/recipe/92462/slow-cooker-texas-pulled-pork/
Best Italian Sausage Soup,436,43.5,33.4,17.8,21,1609.2,https://www.allrecipes.com/recipe/25713/best-italian-sausage-soup/
Slow Cooker Turkey Legs,217,0.2,89.1,6.9,36.3,101.9,https://www.allrecipes.com/recipe/216108/slow-cooker-turkey-legs/
Moms Italian Beef Barley Soup,512,35.4,107.4,27.8,29.7,884.1,https://www.allrecipes.com/recipe/26444/moms-italian-beef-barley-soup/
Bread Pudding In The Slow Cooker,397,57.9,150.8,14.3,11.4,455.4,https://www.allrecipes.com/recipe/231469/bread-pudding-in-the-slow-cooker/
Slow Cooker Chicken Dressing,246,25.8,84.9,9.5,13.7,991.1,https://www.allrecipes.com/recipe/22322/slow-cooker-chicken-dressing/
